project,num_forks,num_files,project_age,num_stars,ratio_old_volunteers,fork_entropy,num_integrated_commits,num_forks_rq2,num_files_rq2,ratio_old_volunteers_rq2,ratio_prs_with_tests,ratio_prs_with_hot_files,fork_entropy_rq2,num_closed_prs,ratio_merged_prs,num_bug_report_issues
angular/angular.js,20,49,2671,49810,0,0.565537436,6,14,21,0,0.2,0.666666667,0.591714949,14,0.071428571,9
angular/angular.js,22,367,2702,50333,0,0.289089726,6,9,15,0,0.555555556,1,0.754299791,9,0.111111111,4
angular/angular.js,20,66,2732,50872,0,0.571161525,8,8,13,0,0.375,0.875,0.78525303,8,0.125,4
angular/angular.js,12,552,2763,51376,0,0.589537594,8,5,8,0,0.166666667,0.333333333,0.668580215,6,0,14
angular/angular.js,16,390,2794,51870,0,0.40960542,4,5,4,0,0,0.4,0.60031466,5,0.2,8
angular/angular.js,15,102,2824,52325,0,0.679747905,7,6,14,0,0.571428571,0.571428571,0.789683061,6,0.166666667,8
angular/angular.js,17,61,2855,52727,0,0.773903335,19,7,10,0,0.571428571,0.714285714,0.83722046,7,0.571428571,7
angular/angular.js,8,39,2885,53102,0,0.585140601,4,2,2,0,0,1,0.490842181,2,0.5,3
angular/angular.js,13,113,2916,53399,0,0.42537222,1,4,4,0,0,0.4,0.691698884,5,0.2,5
angular/angular.js,12,70,2947,53791,0,0.659836425,1,2,2,0,0,0,0.458957501,1,0,3
angular/angular.js,9,70,2975,54110,0,0.681408458,4,4,65,0,0.25,0.25,0.494959751,4,0.25,3
angular/angular.js,6,24,3006,54427,0,0.596472303,0,3,3,0,0,0,0.631509446,3,0,5
angular/angular.js,12,552,3128,55809,0,0.655855799,2,4,10,0,0.25,0.5,0.743776616,4,0,5
angular/angular.js,11,39,3159,56100,0,0.664501805,4,5,262,0,0.2,0.2,0.327857923,5,0.2,2
angular/angular.js,12,35,3189,56386,0,0.581470004,3,4,4,0,0,0.25,0.677637794,4,0,4
angular/angular.js,11,78,3220,56607,0,0.658136271,1,5,6,0,0.2,0.8,0.680719787,5,0,3
angular/angular.js,10,318,3281,57020,0,0.556288469,0,3,5,0,0.666666667,0.666666667,0.661653628,2,0,3
angular/angular.js,11,14,3312,57253,0,0.711154168,2,3,4,0,0,0.2,0.666666663,5,0,1
angular/angular.js,14,277,3340,57418,0,0.282703219,2,2,47,0,0,0,0.430877196,1,0,1
ansible/ansible,18,69,25,4192,0,0.807979762,76,11,43,0,0.183673469,0.87755102,0.858029121,49,0.714285714,5
ansible/ansible,23,63,55,4454,0,0.705073502,51,16,62,0,0.340425532,0.914893617,0.714272852,47,0.680851064,8
ansible/ansible,13,42,86,4658,0.113207547,0.691657191,21,12,38,0.135135135,0.162162162,0.783783784,0.70162628,37,0.837837838,5
ansible/ansible,25,51,116,4784,0.011363636,0.798270294,45,19,52,0.019230769,0.115384615,0.846153846,0.800267079,52,0.730769231,12
ansible/ansible,27,103,147,4933,0.08411215,0.674778155,62,24,106,0.131578947,0.144736842,0.842105263,0.758074865,76,0.671052632,9
ansible/ansible,26,98,178,5057,0.47260274,0.661926911,108,25,117,0.567307692,0.144230769,0.894230769,0.608130554,104,0.826923077,2
ansible/ansible,27,220,208,5176,0.657276995,0.748291011,148,28,175,0.782312925,0.06122449,0.68707483,0.546003406,146,0.794520548,9
ansible/ansible,20,119,239,5277,0.596774194,0.757991542,122,28,147,0.652173913,0.113043478,0.817391304,0.674044584,115,0.782608696,7
ansible/ansible,16,48,269,5362,0.5,0.631826083,28,18,67,0.6,0.1,0.9,0.649072479,40,0.7,2
ansible/ansible,38,74,300,5453,0.146341463,0.603978904,49,35,105,0.218181818,0.090909091,0.927272727,0.568989425,55,0.709090909,1
ansible/ansible,52,273,331,5539,0.145348837,0.575424776,104,45,155,0.313953488,0.093023256,0.813953488,0.661946343,86,0.674418605,4
ansible/ansible,56,222,359,5605,0.320512821,0.516785162,89,43,155,0.352941176,0.058823529,0.808823529,0.62911216,68,0.691176471,12
ansible/ansible,52,73,390,5654,0.25,0.617410592,63,48,72,0.367088608,0.164556962,0.772151899,0.587771915,79,0.620253165,17
ansible/ansible,77,180,420,5693,0.181318681,0.521774843,124,73,180,0.252173913,0.165217391,0.591304348,0.499033776,115,0.72173913,11
ansible/ansible,73,281,451,5726,0.147727273,0.513600606,140,69,237,0.341880342,0.179487179,0.760683761,0.471759595,117,0.786324786,19
